role,skills
Video Editor,premiere-pro video-editing storytelling
Animation Artist,animation 2d 3d motion
Instructional Designer,e-learning course-design education
Research Analyst,research data-analysis reporting
Operations Manager,operations management leadership planning
HR Analyst,hr analytics recruitment data
Talent Acquisition Specialist,recruitment hr interviewing
Training Specialist,training development education
Business Intelligence Analyst,bi analytics reporting dashboards
Risk Analyst,risk-analysis finance data-analysis
Financial Analyst,finance analysis excel forecasting
Supply Chain Analyst,supply-chain logistics analytics
Logistics Coordinator,logistics supply-chain operations
Procurement Specialist,procurement vendor-management negotiation
Full Stack Developer,"Programming Languages: JavaScript, TypeScript, Python, C++, SQL; Frontend Technologies: React.js, Next.js, HTML5, CSS3, Tailwind CSS, Material-UI, Responsive Design; Backend & Databases: Node.js, Express.js, RESTful APIs, MongoDB, MySQL, SQLite; DevOps & Tools: Git, GitHub, Docker, AWS, Jenkins, Vercel, Postman, VS Code, Jira; Methodologies: Agile, CI/CD, Debugging"
Data Scientist,"Programming Languages: Python, R, SQL; AI/ML & Data Science: TensorFlow, Scikit-Learn, NumPy, Pandas, Data Preprocessing, Model Training, Deep Learning, NLP; Data Visualization: Matplotlib, Seaborn, Power BI, Tableau; Tools: Jupyter Notebook, Git; Methodologies: Statistical Analysis, Machine Learning"
Machine Learning Engineer,"Programming Languages: Python, Java; AI/ML & Data Science: TensorFlow, PyTorch, CNN, NLP, Model Deployment, MLOps; Backend: FastAPI, Flask; DevOps & Tools: Docker, Kubernetes, AWS, CI/CD; Data: Feature Engineering, Data Pipelines"
Frontend Developer,"Programming Languages: JavaScript, TypeScript; Frontend Technologies: React.js, Next.js, HTML5, CSS3, Tailwind CSS, Bootstrap, Material-UI, Responsive Design; Tools: Git, GitHub, VS Code; Methodologies: UI/UX, Debugging"
Backend Developer,"Programming Languages: Python, Java, JavaScript; Backend & Databases: Node.js, Express.js, Django, Flask, Spring Boot, REST APIs, GraphQL, MongoDB, MySQL; DevOps & Tools: Docker, AWS, Git; Methodologies: API Development, System Design"
DevOps Engineer,"DevOps & Tools: Docker, Kubernetes, Jenkins, GitHub Actions, Terraform, Ansible; Cloud Computing: AWS, Azure, GCP; Monitoring: Prometheus, Grafana; Methodologies: CI/CD, Infrastructure as Code"
Data Analyst,"Programming Languages: Python, SQL; Data Analysis: Pandas, NumPy, Excel; Visualization: Power BI, Tableau, Matplotlib; Tools: Jupyter, Git; Methodologies: Data Cleaning, Reporting"
AI Engineer,"Programming Languages: Python; AI/ML & Data Science: TensorFlow, PyTorch, OpenCV, NLP, Deep Learning, CNN, Transformers; Tools: Git, Docker; Deployment: APIs, Cloud"
Cloud Engineer,"Cloud Computing: AWS, Azure, GCP; DevOps & Tools: Docker, Kubernetes, Terraform; Networking: Load Balancing, Security, Serverless; Methodologies: Cloud Architecture"
Cybersecurity Analyst,"Cybersecurity: Network Security, Cryptography, Ethical Hacking, Penetration Testing, SIEM, Risk Analysis; Tools: Wireshark, Metasploit; Methodologies: Security Audits"
